x y
401.9273152923396 1409.8252444518955
591.4040187773669 603.1092268345484
802.662718809394 1492.3262942442493
404.49836472499965 1393.9067771140865
94.3856154044378 1208.1909244433868
101.55210625864173 1195.474428051531
600.318750169253 591.2862571704886
900.0854348840505 1300.079743431702
107.37565083457399 1207.3818252706549
893.8338636788033 1295.1879138277145
96.90221288490369 1205.5917594984874
412.30566182158157 1401.947617713873
397.66321181326686 1393.088168589542
903.595942298571 1292.7040657500768
395.6599716726051 1416.2190602894202
111.1520828617049 1194.9642296441843
102.82488214997535 1200.2028059323281
907.1904503297591 1309.5764874075107
81.02581425715451 1209.7831560244124
794.4404694164643 1503.2738726600767
407.36021472716914 1385.1197041897897
812.6046303525957 1498.419211578111
591.3729805428057 596.3516183486945
788.9452466107463 1512.0819666449343
816.2032901302246 1515.3901474094187
1408.3040816585942 303.4743984660544
1406.5536065512342 303.1998302906206
1409.5508621092304 293.99325135267554
893.4834327329005 1299.8430894119454
918.4383701026577 1290.384822131851
597.5527813061801 612.2523987637192
405.8683838626 1389.4738097631407
1398.6317412749765 281.27456940043055
586.5684143554231 608.470214020295
807.2744442875036 1505.6417527808578
103.11130185994736 1194.392321359425
598.6143107833633 590.0628280588357
789.1940141208185 1501.644927059114
608.566897474272 614.7646450788558
393.54739350219023 1406.8339195671379
906.0759998599066 1304.0311947071807
1395.9015019879564 302.58895071080474
107.52362216182367 1209.391667457401
599.0807767901802 592.8815102102965
402.0580876747513 1404.4945661863521
899.0565953514825 1289.8738060782432
87.62867713216555 1190.7681231326744
911.91225455813 1298.1862266258186
799.7705167218008 1493.7479037849203
1391.4061682509466 304.821621462067
1381.983633940969 299.08924697025486
407.0847581013279 1398.731089198612
1404.7443345098588 305.38723814480426
909.9918716815469 1289.9192908215257
1397.9856391641874 283.82611635686084
1391.1339305383697 318.0034055640523
810.9690892564608 1513.674819580684
813.4496466685825 1513.8177472567047
613.0921162242934 606.0781863581544
594.287127502755 602.8982784753503
